property_type,region,rebuild_cost_low_per_sqm_gbp,rebuild_cost_high_per_sqm_gbp,rebuild_cost_avg_per_sqm_gbp,typical_property_size_sqm,estimated_total_rebuild_low_gbp,estimated_total_rebuild_high_gbp,includes_professional_fees_pct,includes_vat_pct,last_updated,notes
2-bed terraced house,South West England,102,140,121,176,17952,24640,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,East Midlands,90,123,106,109,9810,13407,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,West Midlands,92,126,109,123,11316,15498,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,Yorkshire and Humber,87,119,103,153,13311,18207,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,North West England,88,120,104,135,11880,16200,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,North East England,83,114,98,60,4980,6840,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,Wales,85,117,101,135,11475,15795,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,Scotland,90,123,106,87,7830,10701,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,Northern Ireland,80,110,95,60,4800,6600,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed semi-detached,London,145,203,174,177,25665,35931,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,South East England,125,175,150,84,10500,14700,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,East of England,110,154,132,120,13200,18480,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,South West England,108,151,129,145,15660,21895,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,East Midlands,95,133,114,56,5320,7448,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,West Midlands,97,135,116,128,12416,17280,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,Yorkshire and Humber,92,128,110,114,10488,14592,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,North West England,93,130,111,162,15066,21060,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,North East England,88,123,105,83,7304,10209,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,Wales,90,126,108,61,5490,7686,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,Scotland,95,133,114,103,9785,13699,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
2-bed semi-detached,Northern Ireland,85,119,102,84,7140,9996,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Standard build post-1970; adjust for age and construction
3-bed terraced house,London,188,253,220,66,12408,16698,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,South East England,162,218,190,119,19278,25942,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,East of England,143,192,167,137,19591,26304,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,South West England,140,189,164,150,21000,28350,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,East Midlands,123,166,144,109,13407,18094,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,West Midlands,126,169,147,79,9954,13351,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,Yorkshire and Humber,119,161,140,84,9996,13524,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,North West England,120,162,141,152,18240,24624,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,North East England,114,154,134,81,9234,12474,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,Wales,117,157,137,107,12519,16799,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,Scotland,123,166,144,76,9348,12616,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed terraced house,Northern Ireland,110,148,129,94,10340,13912,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed semi-detached,London,203,275,239,97,19691,26675,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,South East England,175,237,206,161,28175,38157,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,East of England,154,209,181,56,8624,11704,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,South West England,151,205,178,68,10268,13940,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,East Midlands,133,180,156,160,21280,28800,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,West Midlands,135,184,159,174,23490,32016,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,Yorkshire and Humber,128,174,151,107,13696,18618,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,North West England,130,176,153,94,12220,16544,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,North East England,123,167,145,96,11808,16032,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,Wales,126,171,148,101,12726,17271,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,Scotland,133,180,156,134,17822,24120,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed semi-detached,Northern Ireland,119,161,140,80,9520,12880,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Most common UK property type
3-bed detached house,London,239,333,286,85,20315,28305,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,South East England,206,287,246,114,23484,32718,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,East of England,181,253,217,77,13937,19481,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,South West England,178,248,213,162,28836,40176,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,East Midlands,156,218,187,76,11856,16568,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,West Midlands,160,223,191,83,13280,18509,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,Yorkshire and Humber,151,211,181,94,14194,19834,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,North West England,153,213,183,125,19125,26625,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,North East England,145,202,173,75,10875,15150,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,Wales,148,207,177,111,16428,22977,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,Scotland,156,218,187,81,12636,17658,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
3-bed detached house,Northern Ireland,140,195,167,93,13020,18135,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,London,319,449,384,136,43384,61064,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,South East England,275,387,331,71,19525,27477,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,East of England,242,341,291,160,38720,54560,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,South West England,237,334,285,144,34128,48096,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,East Midlands,209,294,251,146,30514,42924,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,West Midlands,213,300,256,108,23004,32400,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,Yorkshire and Humber,202,285,243,160,32320,45600,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,North West England,204,288,246,115,23460,33120,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,North East England,193,272,232,129,24897,35088,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,Wales,198,279,238,132,26136,36828,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,Scotland,209,294,251,149,31141,43806,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
4-bed detached house,Northern Ireland,187,263,225,68,12716,17884,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
5-bed+ large detached,London,449,696,572,106,47594,73776,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,South East England,387,600,493,159,61533,95400,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,East of England,341,528,434,139,47399,73392,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,South West England,334,518,426,169,56446,87542,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,East Midlands,294,456,375,65,19110,29640,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,West Midlands,300,465,382,87,26100,40455,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,Yorkshire and Humber,285,441,363,62,17670,27342,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,North West England,288,446,367,159,45792,70914,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,North East England,272,422,347,144,39168,60768,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,Wales,279,432,355,144,40176,62208,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,Scotland,294,456,375,88,25872,40128,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
5-bed+ large detached,Northern Ireland,263,408,335,93,24459,37944,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,High variation; specialist valuation recommended
Bungalow (2-bed),London,159,232,195,95,15105,22040,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),South East England,137,200,168,89,12193,17800,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),East of England,121,176,148,71,8591,12496,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),South West England,118,172,145,65,7670,11180,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),East Midlands,104,152,128,131,13624,19912,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),West Midlands,106,155,130,108,11448,16740,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),Yorkshire and Humber,101,147,124,156,15756,22932,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),North West England,102,148,125,112,11424,16576,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),North East England,96,140,118,118,11328,16520,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),Wales,99,144,121,117,11583,16848,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),Scotland,104,152,128,63,6552,9576,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (2-bed),Northern Ireland,93,136,114,116,10788,15776,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Higher rebuild cost per sqm due to larger footprint
Bungalow (3-bed),London,224,311,267,88,19712,27368,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),South East England,193,268,230,125,24125,33500,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),East of England,170,236,203,100,17000,23600,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),South West England,167,232,199,70,11690,16240,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),East Midlands,147,204,175,90,13230,18360,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),West Midlands,150,208,179,83,12450,17264,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),Yorkshire and Humber,142,197,169,105,14910,20685,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),North West England,144,199,171,126,18144,25074,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),North East England,136,189,162,109,14824,20601,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),Wales,139,193,166,115,15985,22195,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),Scotland,147,204,175,130,19110,26520,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Bungalow (3-bed),Northern Ireland,131,182,156,77,10087,14014,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Use BCIS Rebuild Cost Calculator to verify for specific property
Listed building (Grade II),London,406,870,638,136,55216,118320,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),South East England,350,750,550,90,31500,67500,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),East of England,308,660,484,62,19096,40920,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),South West England,302,648,475,180,54360,116640,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),East Midlands,266,570,418,85,22610,48450,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),West Midlands,271,582,426,157,42547,91374,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),Yorkshire and Humber,257,552,404,136,34952,75072,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),North West England,260,558,409,148,38480,82584,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),North East England,246,528,387,100,24600,52800,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),Wales,252,540,396,161,40572,86940,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),Scotland,266,570,418,108,28728,61560,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Listed building (Grade II),Northern Ireland,238,510,374,96,22848,48960,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Significant additional cost for like-for-like materials; specialist contractor required
Thatched cottage,London,362,652,507,145,52490,94540,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,South East England,312,562,437,100,31200,56200,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,East of England,275,495,385,126,34650,62370,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,South West England,270,486,378,170,45900,82620,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,East Midlands,237,427,332,136,32232,58072,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,West Midlands,242,436,339,55,13310,23980,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,Yorkshire and Humber,230,414,322,59,13570,24426,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,North West England,232,418,325,100,23200,41800,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,North East England,220,396,308,146,32120,57816,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,Wales,225,405,315,140,31500,56700,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,Scotland,237,427,332,80,18960,34160,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
Thatched cottage,Northern Ireland,212,382,297,117,24804,44694,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Very high rebuild cost; specialist thatchers; fire risk premium applies
New build (post-2015),London,203,290,246,96,19488,27840,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),South East England,175,250,212,115,20125,28750,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),East of England,154,220,187,122,18788,26840,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),South West England,151,216,183,92,13892,19872,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
New build (post-2015),East Midlands,133,190,161,176,23408,33440,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Modern construction methods; lower rebuild cost than period properties
