contractor_id,company_name,trade_type,coverage_postcodes,city_region,phone,email,certifications,avg_response_days,emergency_callout,tier_approved,rating_out_of_5,active_on_network,notes
HS-1036,Regional Scaffolding & Sons,Scaffolding,"SE1, EC1, SW1, WC1, SE22, E1, N1",London,01619454633,claims@regionalscaffol.co.uk,Trustmark; FMB Member,5,No,Comprehensive only,4.5,Yes,
HS-1037,Quality Roofing Services,Roofing,"M20, SK2, M4",Manchester,01419776536,claims@qualityroofings.co.uk,Trustmark; CompetentRoofer,5,Yes (Mon-Sat),"Comprehensive,Landlord",4.5,Review pending,
HS-1038,SafeHome Plumbing Specialists,Plumbing & Heating,"M1, OL1, M20, M2, M21",Manchester,01911768264,claims@safehomeplumbin.co.uk,Gas Safe Registered; CIPHE Member,5,No,All tiers,4.0,Yes,
HS-1039,Premier Electrical Specialists,Electrical,"M1, M20, M21, M2, SK2",Manchester,01311675452,claims@premierelectric.co.uk,NICEIC Approved; Part P Certified,2,Yes (Mon-Sat),Comprehensive only,4.8,Review pending,
HS-1040,Metro Electrical Contractors,Electrical,"M21, M14, M2, SK1, M3, OL1, M1",Manchester,01172654299,claims@metroelectrical.co.uk,NICEIC Approved; NAPIT Registered,2,No,"Comprehensive,Landlord",4.5,Review pending,
HS-1041,Expert Electrical Group,Electrical,"M3, OL1, SK2, SK1, M20, M1",Manchester,01229520304,claims@expertelectrica.co.uk,Part P Certified; NAPIT Registered,1,Yes (8am-10pm),Comprehensive only,4.4,Yes,
HS-1042,Expert Building Building Services,Building & Structural,"M2, M20, M1, M4, OL1, M21",Manchester,01219385043,claims@expertbuildingb.co.uk,RICS Accredited; FMB Member,3,Yes (24/7),"Comprehensive,Landlord",4.3,Yes,
HS-1043,Quality Building Specialists,Building & Structural,"M20, SK2, M1, SK1",Manchester,01134625629,claims@qualitybuilding.co.uk,FMB Member; RIBA Practice,1,Yes (Mon-Sat),Comprehensive only,4.6,Yes,
HS-1044,Summit Damp Solutions,Damp & Timber Treatment,"M21, M3, SK2, OL1",Manchester,01228677952,claims@summitdampsolut.co.uk,FMB Member; Trustmark,5,Yes (24/7),All tiers,3.9,Yes,
HS-1045,National Glazing Building Services,Glazing,"SK1, M3, M14, OL1, SK2",Manchester,01311535313,claims@nationalglazing.co.uk,Trustmark; Which? Trusted Trader,3,Yes (8am-10pm),Comprehensive only,4.9,Yes,
HS-1046,City Glazing Specialists,Glazing,"SK1, M2, M21, M20, M4",Manchester,01176088890,claims@cityglazingspec.co.uk,Trustmark; FENSA Registered,3,Yes (8am-10pm),"Standard,Comprehensive,Landlord",4.6,Yes,
HS-1047,City Glazing Ltd,Glazing,"SK2, M4, M14, M3",Manchester,01617600453,claims@cityglazingltd.co.uk,Trustmark; Which? Trusted Trader,1,No,All tiers,4.7,Yes,
HS-1048,TrustMark Joinery Property Services,Joinery & Carpentry,"M14, SK1, M20, SK2, M21, M2",Manchester,01613366818,claims@trustmarkjoiner.co.uk,Trustmark; FMB Member,3,Yes (8am-10pm),Comprehensive only,4.1,Yes,
HS-1049,Metro Plastering Contractors,Plastering & Rendering,"SK2, M20, OL1, M2, SK1, M1",Manchester,01214755436,claims@metroplastering.co.uk,Trustmark; FMB Member,1,Yes (8am-10pm),Comprehensive only,5.0,Yes,
HS-1050,Swift Plastering & Sons,Plastering & Rendering,"M1, OL1, M2, M20",Manchester,01147371267,claims@swiftplastering.co.uk,Trustmark; FMB Member,2,No,"Standard,Comprehensive,Landlord",4.9,Review pending,
HS-1051,Elite Plastering Building Services,Plastering & Rendering,"M14, M3, SK2, M4, OL1",Manchester,01613278522,claims@eliteplastering.co.uk,FMB Member; Trustmark,2,Yes (8am-10pm),Comprehensive only,4.6,Yes,
HS-1052,Shield Flooring Group,Flooring,"SK1, OL1, M2, M4, M1, M21, SK2",Manchester,01216795617,claims@shieldflooringg.co.uk,FMB Member; Trustmark,2,Yes (Mon-Sat),All tiers,4.8,Yes,
HS-1053,Reliable Flooring & Sons,Flooring,"M21, SK2, M1, SK1, M2, M14, M20",Manchester,01314702695,claims@reliablefloorin.co.uk,FMB Member; Trustmark,2,Yes (24/7),"Standard,Comprehensive,Landlord",4.7,Yes,
HS-1054,Regional Flooring Solutions,Flooring,"M4, OL1, M1, M2, SK2, M3, M20",Manchester,01617153033,claims@regionalfloorin.co.uk,FMB Member; Trustmark,1,No,"Standard,Comprehensive,Landlord",4.6,Yes,
HS-1055,BritishHome Kitchen Installation Ltd,Kitchen Installation,"M21, M14, M20, M3",Manchester,01318899223,claims@britishhomekitc.co.uk,FMB Member; Trustmark,5,Yes (Mon-Sat),Comprehensive only,3.8,Yes,
HS-1056,TrustMark Bathroom Installation & Sons,Bathroom Installation,"M2, M1, M21, M20, M3",Manchester,01133934568,claims@trustmarkbathro.co.uk,FMB Member; Trustmark,2,No,All tiers,5.0,Yes,
HS-1057,Metro Bathroom Installation Services,Bathroom Installation,"M4, M14, M2, M1, M20, OL1, M21",Manchester,01214392367,claims@metrobathroomin.co.uk,Trustmark; FMB Member,2,No,"Comprehensive,Landlord",4.8,Yes,
HS-1058,TrustMark Painting Group,Painting & Decorating,"M21, M3, M1, OL1, SK2, M20, M2",Manchester,01915505867,claims@trustmarkpainti.co.uk,FMB Member; Trustmark,1,Yes (24/7),"Standard,Comprehensive,Landlord",4.0,Yes,
HS-1059,FastFix Drainage Services,Drainage,"M3, M14, M20",Manchester,01155343253,claims@fastfixdrainage.co.uk,Trustmark; FMB Member,1,Yes (24/7),"Comprehensive,Landlord",4.1,Yes,
HS-1060,Shield Drainage & Sons,Drainage,"M3, M1, M4, OL1, SK1, M20, M21",Manchester,01314903782,claims@shielddrainagea.co.uk,Trustmark; FMB Member,3,Yes (Mon-Sat),All tiers,4.3,Yes,
HS-1061,National Locksmith Group,Locksmith,"M1, M4, M20, SK2, SK1, M2, OL1",Manchester,01221639113,claims@nationallocksmi.co.uk,Master Locksmiths Association; Trustmark,1,No,Comprehensive only,3.8,Yes,
HS-1062,City Locksmith Ltd,Locksmith,"M2, OL1, SK2, M1",Manchester,01211318681,claims@citylocksmithlt.co.uk,Trustmark; Master Locksmiths Association,2,Yes (8am-10pm),Comprehensive only,4.3,Yes,
HS-1063,City Fire Restoration Property Services,Fire Restoration,"SK2, SK1, M20, M1",Manchester,01613920556,claims@cityfirerestora.co.uk,Trustmark; BDMA Member,3,Yes (24/7),"Comprehensive,Landlord",4.6,Yes,
HS-1064,SafeHome Fire Restoration Specialists,Fire Restoration,"M4, SK1, M2, M3, M14",Manchester,01914546190,claims@safehomefireres.co.uk,BDMA Member; Trustmark,1,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",4.8,Yes,
HS-1065,Reliable Flood Remediation Services,Flood Remediation,"M2, M14, OL1, M21, SK1, M20",Manchester,01229988082,claims@reliablefloodre.co.uk,BDMA Member; PCA Registered,5,Yes (Mon-Sat),All tiers,4.7,Yes,
HS-1066,ProBuild Subsidence Specialist Services,Subsidence Specialist,"SK1, SK2, M20, M21, M4, M2, M1",Manchester,01312146634,claims@probuildsubside.co.uk,Helifix Approved Installer; RICS Accredited,1,Yes (8am-10pm),"Comprehensive,Landlord",4.4,Yes,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1067,Expert Subsidence Specialist Ltd,Subsidence Specialist,"M21, M3, M20, M14, M1",Manchester,01214318276,claims@expertsubsidenc.co.uk,Helifix Approved Installer; PCA Registered,2,Yes (8am-10pm),"Comprehensive,Landlord",4.6,Yes,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1068,Quality Subsidence Specialist Property Services,Subsidence Specialist,"M20, OL1, M4, M2",Manchester,01175664904,claims@qualitysubsiden.co.uk,RICS Accredited; Helifix Approved Installer,5,Yes (Mon-Sat),"Comprehensive,Landlord",4.4,Yes,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1069,City Environmental (Oil/Contamination) Solutions,Environmental (Oil/Contamination),"M14, M1, SK1, M3, SK2, M21, M20",Manchester,01913138362,claims@cityenvironment.co.uk,ISO 14001 Certified; Environment Agency Licensed,1,Yes (Mon-Sat),"Comprehensive,Landlord",4.4,Yes,Environment Agency licensed; required for all oil escape clean-up claims
HS-1070,Reliable Environmental (Oil/Contamination) Ltd,Environmental (Oil/Contamination),"M2, SK1, OL1, M14, M4, M3, M20",Manchester,01159718927,claims@reliableenviron.co.uk,ISO 14001 Certified; Environment Agency Licensed,3,Yes (24/7),Comprehensive only,4.5,Review pending,Environment Agency licensed; required for all oil escape clean-up claims
HS-1071,Quality Scaffolding Solutions,Scaffolding,"M20, M2, M1, OL1, SK1",Manchester,01315094140,claims@qualityscaffold.co.uk,FMB Member; Trustmark,1,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",4.2,Yes,
HS-1072,ProBuild Scaffolding Group,Scaffolding,"M3, M4, M2",Manchester,01217401324,claims@probuildscaffol.co.uk,Trustmark; FMB Member,5,Yes (8am-10pm),"Comprehensive,Landlord",4.5,Yes,
HS-1073,Premier Scaffolding & Sons,Scaffolding,"M20, SK1, M3",Manchester,01419466263,claims@premierscaffold.co.uk,Trustmark; FMB Member,2,Yes (8am-10pm),All tiers,4.4,Review pending,
HS-1074,Swift Roofing Building Services,Roofing,"B45, B16, B3, B11, B2, B44, B15",Birmingham,01918787310,claims@swiftroofingbui.co.uk,CompetentRoofer; Trustmark,2,Yes (Mon-Sat),All tiers,3.9,Review pending,
HS-1075,Summit Roofing Solutions,Roofing,"B44, B45, B1, B11, B16, B29",Birmingham,01221958327,claims@summitroofingso.co.uk,Trustmark; NFRC Approved,1,Yes (Mon-Sat),Comprehensive only,4.4,Yes,
HS-1076,National Roofing & Sons,Roofing,"B44, B29, B3, B2",Birmingham,01416253209,claims@nationalroofing.co.uk,CompetentRoofer; Trustmark,5,Yes (24/7),Comprehensive only,3.8,Yes,
HS-1077,TrustMark Plumbing Building Services,Plumbing & Heating,"B1, B16, B44, B2",Birmingham,01177113759,claims@trustmarkplumbi.co.uk,Gas Safe Registered; Trustmark,2,No,Comprehensive only,4.2,Yes,
HS-1078,City Plumbing Ltd,Plumbing & Heating,"B45, B44, B1",Birmingham,01226326114,claims@cityplumbingltd.co.uk,Trustmark; CIPHE Member,2,Yes (24/7),"Standard,Comprehensive,Landlord",4.4,Yes,
HS-1079,Metro Electrical Contractors,Electrical,"B11, B15, B30",Birmingham,01157650242,claims@metroelectrical.co.uk,NICEIC Approved; Part P Certified,3,Yes (24/7),Comprehensive only,4.4,Yes,
HS-1080,City Electrical Property Services,Electrical,"B2, B30, B45, B11, B16",Birmingham,01153440135,claims@cityelectricalp.co.uk,NICEIC Approved; Part P Certified,2,Yes (8am-10pm),"Comprehensive,Landlord",4.1,Yes,
HS-1081,Reliable Building Ltd,Building & Structural,"B15, B16, B30, B29, B2",Birmingham,01918425709,claims@reliablebuildin.co.uk,RICS Accredited; FMB Member,3,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",4.6,Yes,
HS-1082,Reliable Building Contractors,Building & Structural,"B1, B3, B29",Birmingham,01221141334,claims@reliablebuildin.co.uk,RICS Accredited; Trustmark,2,Yes (Mon-Sat),All tiers,4.8,Yes,
HS-1083,Quality Building Services,Building & Structural,"B3, B2, B1, B15, B45, B11, B30",Birmingham,01615850331,claims@qualitybuilding.co.uk,RICS Accredited; FMB Member,5,Yes (24/7),"Comprehensive,Landlord",4.6,Yes,
HS-1084,TrustMark Damp & Sons,Damp & Timber Treatment,"B29, B44, B2, B3, B15, B1, B11",Birmingham,01413600641,claims@trustmarkdampan.co.uk,Trustmark; FMB Member,5,Yes (24/7),All tiers,5.0,Yes,
HS-1085,Crown Glazing Solutions,Glazing,"B30, B3, B16, B45, B29, B15, B44",Birmingham,01143032022,claims@crownglazingsol.co.uk,Which? Trusted Trader; FENSA Registered,1,Yes (24/7),"Standard,Comprehensive,Landlord",4.9,Yes,
HS-1086,SafeHome Glazing Property Services,Glazing,"B11, B29, B30, B2, B44, B45, B3",Birmingham,01178534159,claims@safehomeglazing.co.uk,FENSA Registered; Which? Trusted Trader,3,Yes (24/7),All tiers,4.3,Yes,
HS-1087,Expert Joinery & Sons,Joinery & Carpentry,"B45, B1, B2, B3",Birmingham,01156692393,claims@expertjoineryan.co.uk,Trustmark; FMB Member,1,Yes (Mon-Sat),"Comprehensive,Landlord",4.1,Review pending,
HS-1088,Summit Joinery Ltd,Joinery & Carpentry,"B1, B29, B30, B3, B16",Birmingham,01614231712,claims@summitjoinerylt.co.uk,Trustmark; FMB Member,1,No,"Comprehensive,Landlord",4.9,Yes,
HS-1089,Summit Plastering Ltd,Plastering & Rendering,"B2, B1, B29",Birmingham,01314752990,claims@summitplasterin.co.uk,Trustmark; FMB Member,2,Yes (Mon-Sat),Comprehensive only,4.0,Yes,
HS-1090,Regional Plastering Property Services,Plastering & Rendering,"B29, B30, B15, B3, B11",Birmingham,01159725427,claims@regionalplaster.co.uk,Trustmark; FMB Member,5,Yes (8am-10pm),All tiers,4.1,Review pending,
HS-1091,Prestige Flooring Property Services,Flooring,"B15, B45, B44, B3, B2, B29, B16",Birmingham,01172621159,claims@prestigefloorin.co.uk,FMB Member; Trustmark,2,Yes (Mon-Sat),"Comprehensive,Landlord",4.7,Yes,
HS-1092,Metro Flooring Services,Flooring,"B2, B30, B44, B45, B1, B16",Birmingham,01229282273,claims@metroflooringse.co.uk,Trustmark; FMB Member,1,Yes (24/7),All tiers,4.4,Yes,
HS-1093,Expert Kitchen Installation Solutions,Kitchen Installation,"B16, B29, B2, B1, B44",Birmingham,01143892497,claims@expertkitchenin.co.uk,Trustmark; FMB Member,5,Yes (24/7),"Comprehensive,Landlord",4.5,Review pending,
HS-1094,Regional Kitchen Installation Contractors,Kitchen Installation,"B15, B3, B1, B44",Birmingham,01615451995,claims@regionalkitchen.co.uk,Trustmark; FMB Member,1,No,All tiers,4.3,Yes,
HS-1095,Swift Kitchen Installation Group,Kitchen Installation,"B15, B44, B2, B45, B11, B1",Birmingham,01611026839,claims@swiftkitchenins.co.uk,FMB Member; Trustmark,2,Yes (8am-10pm),"Comprehensive,Landlord",4.8,Yes,
HS-1096,Quality Bathroom Installation & Sons,Bathroom Installation,"B3, B30, B44, B11, B45, B29",Birmingham,01158323951,claims@qualitybathroom.co.uk,Trustmark; FMB Member,2,Yes (24/7),"Standard,Comprehensive,Landlord",4.5,Yes,
HS-1097,FastFix Bathroom Installation Group,Bathroom Installation,"B30, B44, B29, B1",Birmingham,01136187330,claims@fastfixbathroom.co.uk,Trustmark; FMB Member,1,Yes (24/7),"Standard,Comprehensive,Landlord",4.3,Yes,
HS-1098,Swift Painting Building Services,Painting & Decorating,"B44, B3, B30",Birmingham,01218199483,claims@swiftpaintingbu.co.uk,FMB Member; Trustmark,1,Yes (24/7),Comprehensive only,3.8,Yes,
HS-1099,Summit Painting & Sons,Painting & Decorating,"B29, B3, B1",Birmingham,01912101729,claims@summitpaintinga.co.uk,FMB Member; Trustmark,5,Yes (8am-10pm),All tiers,4.6,Yes,
HS-1100,BritishHome Painting & Sons,Painting & Decorating,"B15, B1, B44, B3, B16, B2, B29",Birmingham,01151122818,claims@britishhomepain.co.uk,FMB Member; Trustmark,3,Yes (8am-10pm),Comprehensive only,3.9,Yes,
HS-1101,Prestige Drainage Services,Drainage,"B30, B29, B11",Birmingham,01616470221,claims@prestigedrainag.co.uk,Trustmark; FMB Member,2,Yes (8am-10pm),Comprehensive only,4.7,Yes,
HS-1102,Shield Drainage Specialists,Drainage,"B44, B16, B1",Birmingham,01133572001,claims@shielddrainages.co.uk,FMB Member; Trustmark,2,Yes (8am-10pm),All tiers,3.9,Yes,
HS-1103,Metro Locksmith Group,Locksmith,"B44, B11, B15, B45",Birmingham,01221235094,claims@metrolocksmithg.co.uk,Master Locksmiths Association; Trustmark,2,No,All tiers,3.8,Review pending,
HS-1104,City Locksmith Specialists,Locksmith,"B29, B45, B11, B1, B2, B3",Birmingham,01919848683,claims@citylocksmithsp.co.uk,Trustmark; Master Locksmiths Association,1,No,Comprehensive only,4.8,Yes,
HS-1105,Expert Locksmith Solutions,Locksmith,"B45, B29, B30, B15",Birmingham,01911318741,claims@expertlocksmith.co.uk,Trustmark; Master Locksmiths Association,5,Yes (24/7),"Standard,Comprehensive,Landlord",4.6,Yes,
HS-1106,Swift Fire Restoration Ltd,Fire Restoration,"B11, B15, B29, B2, B45",Birmingham,01411923806,claims@swiftfirerestor.co.uk,BDMA Member; Trustmark,1,Yes (8am-10pm),Comprehensive only,4.2,Yes,
HS-1107,Quality Fire Restoration Specialists,Fire Restoration,"B11, B3, B44, B29, B1, B30",Birmingham,01145291399,claims@qualityfirerest.co.uk,BDMA Member; Trustmark,5,No,"Standard,Comprehensive,Landlord",4.5,Yes,
HS-1108,Metro Fire Restoration Solutions,Fire Restoration,"B30, B11, B45",Birmingham,01312851061,claims@metrofirerestor.co.uk,BDMA Member; Trustmark,1,Yes (Mon-Sat),"Comprehensive,Landlord",4.5,Yes,
HS-1109,Premier Flood Remediation & Sons,Flood Remediation,"B16, B45, B1, B44",Birmingham,01148498021,claims@premierfloodrem.co.uk,PCA Registered; BDMA Member,5,Yes (Mon-Sat),"Comprehensive,Landlord",4.3,Yes,
HS-1110,Premier Flood Remediation Group,Flood Remediation,"B2, B3, B45, B1, B16, B15, B30",Birmingham,01616344763,claims@premierfloodrem.co.uk,Trustmark; PCA Registered,1,No,"Standard,Comprehensive,Landlord",4.0,Yes,
HS-1111,Apex Subsidence Specialist Ltd,Subsidence Specialist,"B30, B29, B3, B11, B16",Birmingham,01144202016,claims@apexsubsidences.co.uk,PCA Registered; Helifix Approved Installer,1,Yes (24/7),"Standard,Comprehensive,Landlord",4.1,Yes,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1112,BritishHome Environmental (Oil/Contamination) Contractors,Environmental (Oil/Contamination),"B29, B45, B1",Birmingham,01177273267,claims@britishhomeenvi.co.uk,Environment Agency Licensed; ISO 14001 Certified,2,Yes (8am-10pm),All tiers,4.3,Yes,Environment Agency licensed; required for all oil escape clean-up claims
HS-1113,City Environmental (Oil/Contamination) Group,Environmental (Oil/Contamination),"B45, B29, B44, B2, B30",Birmingham,01919080875,claims@cityenvironment.co.uk,Environment Agency Licensed; ISO 14001 Certified,2,Yes (Mon-Sat),"Comprehensive,Landlord",4.4,Yes,Environment Agency licensed; required for all oil escape clean-up claims
HS-1114,FastFix Scaffolding Services,Scaffolding,"B3, B1, B16",Birmingham,01417772525,claims@fastfixscaffold.co.uk,Trustmark; FMB Member,1,No,All tiers,3.9,Yes,
HS-1115,Reliable Scaffolding Group,Scaffolding,"B15, B30, B2, B11, B45, B16, B3",Birmingham,01417631531,claims@reliablescaffol.co.uk,Trustmark; FMB Member,5,Yes (24/7),All tiers,4.4,Yes,
HS-1116,Summit Roofing Property Services,Roofing,"BD1, LS6, LS8",Leeds,01222566407,claims@summitroofingpr.co.uk,NFRC Approved; Trustmark,2,No,"Comprehensive,Landlord",4.9,Yes,
HS-1117,City Plumbing & Sons,Plumbing & Heating,"LS17, LS1, LS7, LS16, LS8",Leeds,01139831453,claims@cityplumbingand.co.uk,Gas Safe Registered; Trustmark,2,Yes (24/7),"Comprehensive,Landlord",3.9,Yes,
HS-1118,TrustMark Plumbing & Sons,Plumbing & Heating,"LS16, LS1, LS17, BD1, LS6",Leeds,01211825794,claims@trustmarkplumbi.co.uk,CIPHE Member; Gas Safe Registered,2,Yes (8am-10pm),"Comprehensive,Landlord",4.8,Yes,
