damage_type,peril_category,affected_component,property_size_category,repair_cost_low_gbp,repair_cost_high_gbp,repair_cost_avg_gbp,typical_labour_days,vat_included,recommended_quotes,specialist_required,notes
"Flat roof replacement (full, up to 30sqm)",Storm,Roof,2-bed terraced house,2250,7200,4725,5,Yes (20% VAT included),2 independent quotes required,No,Includes removal of old felt
"Flat roof replacement (full, up to 30sqm)",Storm,Roof,3-bed semi-detached house,2500,8000,5250,5,Yes (20% VAT included),2 independent quotes required,No,Includes removal of old felt
"Flat roof replacement (full, up to 30sqm)",Storm,Roof,3-bed detached house,2875,9200,6037,5,Yes (20% VAT included),2 independent quotes required,No,Includes removal of old felt
"Flat roof replacement (full, up to 30sqm)",Storm,Roof,4-bed detached house,3375,10800,7087,5,Yes (20% VAT included),2 independent quotes required,No,Includes removal of old felt
"Flat roof replacement (full, up to 30sqm)",Storm,Roof,5-bed+ large detached,4000,12800,8400,5,Yes (20% VAT included),2 independent quotes required,No,Includes removal of old felt
Ridge tile repoint or replace,Storm,Roof,1-bed flat/apartment,125,400,262,1,Yes (20% VAT included),1 quote sufficient,No,
Ridge tile repoint or replace,Storm,Roof,2-bed terraced house,175,525,350,1,Yes (20% VAT included),1 quote sufficient,No,
Ridge tile repoint or replace,Storm,Roof,3-bed semi-detached house,200,600,400,1,Yes (20% VAT included),1 quote sufficient,No,
Ridge tile repoint or replace,Storm,Roof,3-bed detached house,225,675,450,1,Yes (20% VAT included),1 quote sufficient,No,
Ridge tile repoint or replace,Storm,Roof,4-bed detached house,250,800,525,1,Yes (20% VAT included),1 quote sufficient,No,
Ridge tile repoint or replace,Storm,Roof,5-bed+ large detached,300,950,625,1,Yes (20% VAT included),1 quote sufficient,No,
Chimney stack repair (repoint),Storm,Chimney,1-bed flat/apartment,200,625,412,2,Yes (20% VAT included),1 quote sufficient,No,"Scaffold cost may add £500–1,500"
Chimney stack repair (repoint),Storm,Chimney,2-bed terraced house,250,800,525,2,Yes (20% VAT included),1 quote sufficient,No,"Scaffold cost may add £500–1,500"
Chimney stack repair (repoint),Storm,Chimney,3-bed semi-detached house,300,900,600,2,Yes (20% VAT included),1 quote sufficient,No,"Scaffold cost may add £500–1,500"
Chimney stack repair (repoint),Storm,Chimney,3-bed detached house,325,1025,675,2,Yes (20% VAT included),1 quote sufficient,No,"Scaffold cost may add £500–1,500"
Chimney stack repair (repoint),Storm,Chimney,4-bed detached house,400,1200,800,2,Yes (20% VAT included),1 quote sufficient,No,"Scaffold cost may add £500–1,500"
Chimney stack repair (repoint),Storm,Chimney,5-bed+ large detached,475,1425,950,2,Yes (20% VAT included),1 quote sufficient,No,"Scaffold cost may add £500–1,500"
Chimney stack rebuild (partial),Storm,Chimney,1-bed flat/apartment,1050,3500,2275,5,Yes (20% VAT included),1 quote sufficient,No,
Chimney stack rebuild (partial),Storm,Chimney,2-bed terraced house,1350,4500,2925,5,Yes (20% VAT included),2 independent quotes required,No,
Chimney stack rebuild (partial),Storm,Chimney,3-bed semi-detached house,1500,5000,3250,5,Yes (20% VAT included),2 independent quotes required,No,
Chimney stack rebuild (partial),Storm,Chimney,3-bed detached house,1700,5750,3725,5,Yes (20% VAT included),2 independent quotes required,No,
Chimney stack rebuild (partial),Storm,Chimney,4-bed detached house,2025,6750,4387,5,Yes (20% VAT included),2 independent quotes required,No,
Chimney stack rebuild (partial),Storm,Chimney,5-bed+ large detached,2400,8000,5200,5,Yes (20% VAT included),2 independent quotes required,No,
Fascia and soffit replacement (full house),Storm,Exterior,1-bed flat/apartment,550,2100,1325,3,Yes (20% VAT included),1 quote sufficient,No,uPVC standard
Fascia and soffit replacement (full house),Storm,Exterior,2-bed terraced house,700,2700,1700,3,Yes (20% VAT included),1 quote sufficient,No,uPVC standard
Fascia and soffit replacement (full house),Storm,Exterior,3-bed semi-detached house,800,3000,1900,3,Yes (20% VAT included),1 quote sufficient,No,uPVC standard
Fascia and soffit replacement (full house),Storm,Exterior,3-bed detached house,900,3425,2162,3,Yes (20% VAT included),1 quote sufficient,No,uPVC standard
Fascia and soffit replacement (full house),Storm,Exterior,4-bed detached house,1075,4050,2562,3,Yes (20% VAT included),2 independent quotes required,No,uPVC standard
Fascia and soffit replacement (full house),Storm,Exterior,5-bed+ large detached,1275,4800,3037,3,Yes (20% VAT included),2 independent quotes required,No,uPVC standard
Guttering replacement (full house),Storm,Exterior,1-bed flat/apartment,275,1050,662,2,Yes (20% VAT included),1 quote sufficient,No,
Guttering replacement (full house),Storm,Exterior,2-bed terraced house,350,1350,850,2,Yes (20% VAT included),1 quote sufficient,No,
Guttering replacement (full house),Storm,Exterior,3-bed semi-detached house,400,1500,950,2,Yes (20% VAT included),1 quote sufficient,No,
Guttering replacement (full house),Storm,Exterior,3-bed detached house,450,1700,1075,2,Yes (20% VAT included),1 quote sufficient,No,
Guttering replacement (full house),Storm,Exterior,4-bed detached house,525,2025,1275,2,Yes (20% VAT included),1 quote sufficient,No,
Guttering replacement (full house),Storm,Exterior,5-bed+ large detached,625,2400,1512,2,Yes (20% VAT included),1 quote sufficient,No,
"Fallen tree removal (small, <6m)",Storm,Garden/Exterior,1-bed flat/apartment,200,625,412,1,Yes (20% VAT included),1 quote sufficient,No,
"Fallen tree removal (small, <6m)",Storm,Garden/Exterior,2-bed terraced house,250,800,525,1,Yes (20% VAT included),1 quote sufficient,No,
"Fallen tree removal (small, <6m)",Storm,Garden/Exterior,3-bed semi-detached house,300,900,600,1,Yes (20% VAT included),1 quote sufficient,No,
"Fallen tree removal (small, <6m)",Storm,Garden/Exterior,3-bed detached house,325,1025,675,1,Yes (20% VAT included),1 quote sufficient,No,
"Fallen tree removal (small, <6m)",Storm,Garden/Exterior,4-bed detached house,400,1200,800,1,Yes (20% VAT included),1 quote sufficient,No,
"Fallen tree removal (small, <6m)",Storm,Garden/Exterior,5-bed+ large detached,475,1425,950,1,Yes (20% VAT included),1 quote sufficient,No,
"Fallen tree removal (large, >10m)",Storm,Garden/Exterior,1-bed flat/apartment,550,2100,1325,2,Yes (20% VAT included),1 quote sufficient,No,Specialist arborist required
"Fallen tree removal (large, >10m)",Storm,Garden/Exterior,2-bed terraced house,700,2700,1700,2,Yes (20% VAT included),1 quote sufficient,No,Specialist arborist required
"Fallen tree removal (large, >10m)",Storm,Garden/Exterior,3-bed semi-detached house,800,3000,1900,2,Yes (20% VAT included),1 quote sufficient,No,Specialist arborist required
"Fallen tree removal (large, >10m)",Storm,Garden/Exterior,3-bed detached house,900,3425,2162,2,Yes (20% VAT included),1 quote sufficient,No,Specialist arborist required
"Fallen tree removal (large, >10m)",Storm,Garden/Exterior,4-bed detached house,1075,4050,2562,2,Yes (20% VAT included),2 independent quotes required,No,Specialist arborist required
"Fallen tree removal (large, >10m)",Storm,Garden/Exterior,5-bed+ large detached,1275,4800,3037,2,Yes (20% VAT included),2 independent quotes required,No,Specialist arborist required
Fallen tree damage repair to roof,Storm,Roof,1-bed flat/apartment,1050,5600,3325,5,Yes (20% VAT included),2 independent quotes required,No,Cost depends on extent of structural damage
Fallen tree damage repair to roof,Storm,Roof,2-bed terraced house,1350,7200,4275,5,Yes (20% VAT included),2 independent quotes required,No,Cost depends on extent of structural damage
Fallen tree damage repair to roof,Storm,Roof,3-bed semi-detached house,1500,8000,4750,5,Yes (20% VAT included),2 independent quotes required,No,Cost depends on extent of structural damage
Fallen tree damage repair to roof,Storm,Roof,3-bed detached house,1700,9200,5450,5,Yes (20% VAT included),2 independent quotes required,No,Cost depends on extent of structural damage
Fallen tree damage repair to roof,Storm,Roof,4-bed detached house,2025,10800,6412,5,Yes (20% VAT included),2 independent quotes required,No,Cost depends on extent of structural damage
Fallen tree damage repair to roof,Storm,Roof,5-bed+ large detached,2400,12800,7600,5,Yes (20% VAT included),2 independent quotes required,No,Cost depends on extent of structural damage
External wall render repair (partial),Storm,Exterior,1-bed flat/apartment,275,1050,662,3,Yes (20% VAT included),1 quote sufficient,No,
External wall render repair (partial),Storm,Exterior,2-bed terraced house,350,1350,850,3,Yes (20% VAT included),1 quote sufficient,No,
External wall render repair (partial),Storm,Exterior,3-bed semi-detached house,400,1500,950,3,Yes (20% VAT included),1 quote sufficient,No,
External wall render repair (partial),Storm,Exterior,3-bed detached house,450,1700,1075,3,Yes (20% VAT included),1 quote sufficient,No,
External wall render repair (partial),Storm,Exterior,4-bed detached house,525,2025,1275,3,Yes (20% VAT included),1 quote sufficient,No,
External wall render repair (partial),Storm,Exterior,5-bed+ large detached,625,2400,1512,3,Yes (20% VAT included),1 quote sufficient,No,
External wall render (full house),Storm,Exterior,1-bed flat/apartment,2100,8400,5250,10,Yes (20% VAT included),2 independent quotes required,No,
External wall render (full house),Storm,Exterior,2-bed terraced house,2700,10800,6750,10,Yes (20% VAT included),2 independent quotes required,No,
External wall render (full house),Storm,Exterior,3-bed semi-detached house,3000,12000,7500,10,Yes (20% VAT included),2 independent quotes required,No,
External wall render (full house),Storm,Exterior,3-bed detached house,3425,13775,8600,10,Yes (20% VAT included),2 independent quotes required,No,
External wall render (full house),Storm,Exterior,4-bed detached house,4050,16200,10125,10,Yes (20% VAT included),2 independent quotes required,No,
External wall render (full house),Storm,Exterior,5-bed+ large detached,4800,19200,12000,10,Yes (20% VAT included),2 independent quotes required,No,
"Window replacement (standard double-glazed, single unit)",Storm,Windows,1-bed flat/apartment,275,825,550,1,Yes (20% VAT included),1 quote sufficient,No,
"Window replacement (standard double-glazed, single unit)",Storm,Windows,2-bed terraced house,350,1075,712,1,Yes (20% VAT included),1 quote sufficient,No,
"Window replacement (standard double-glazed, single unit)",Storm,Windows,3-bed semi-detached house,400,1200,800,1,Yes (20% VAT included),1 quote sufficient,No,
"Window replacement (standard double-glazed, single unit)",Storm,Windows,3-bed detached house,450,1375,912,1,Yes (20% VAT included),1 quote sufficient,No,
"Window replacement (standard double-glazed, single unit)",Storm,Windows,4-bed detached house,525,1600,1062,1,Yes (20% VAT included),1 quote sufficient,No,
"Window replacement (standard double-glazed, single unit)",Storm,Windows,5-bed+ large detached,625,1900,1262,1,Yes (20% VAT included),1 quote sufficient,No,
"Window replacement (bay window, double-glazed)",Storm,Windows,1-bed flat/apartment,825,2800,1812,2,Yes (20% VAT included),1 quote sufficient,No,
"Window replacement (bay window, double-glazed)",Storm,Windows,2-bed terraced house,1075,3600,2337,2,Yes (20% VAT included),1 quote sufficient,No,
"Window replacement (bay window, double-glazed)",Storm,Windows,3-bed semi-detached house,1200,4000,2600,2,Yes (20% VAT included),2 independent quotes required,No,
"Window replacement (bay window, double-glazed)",Storm,Windows,3-bed detached house,1375,4600,2987,2,Yes (20% VAT included),2 independent quotes required,No,
"Window replacement (bay window, double-glazed)",Storm,Windows,4-bed detached house,1600,5400,3500,2,Yes (20% VAT included),2 independent quotes required,No,
"Window replacement (bay window, double-glazed)",Storm,Windows,5-bed+ large detached,1900,6400,4150,2,Yes (20% VAT included),2 independent quotes required,No,
External door replacement (standard UPVC),Storm,Doors,1-bed flat/apartment,400,1400,900,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (standard UPVC),Storm,Doors,2-bed terraced house,525,1800,1162,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (standard UPVC),Storm,Doors,3-bed semi-detached house,600,2000,1300,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (standard UPVC),Storm,Doors,3-bed detached house,675,2300,1487,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (standard UPVC),Storm,Doors,4-bed detached house,800,2700,1750,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (standard UPVC),Storm,Doors,5-bed+ large detached,950,3200,2075,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (composite),Storm,Doors,1-bed flat/apartment,625,1950,1287,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (composite),Storm,Doors,2-bed terraced house,800,2500,1650,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (composite),Storm,Doors,3-bed semi-detached house,900,2800,1850,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (composite),Storm,Doors,3-bed detached house,1025,3200,2112,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (composite),Storm,Doors,4-bed detached house,1200,3775,2487,1,Yes (20% VAT included),1 quote sufficient,No,
External door replacement (composite),Storm,Doors,5-bed+ large detached,1425,4475,2950,1,Yes (20% VAT included),2 independent quotes required,No,
Fence repair / replacement (per 3m panel),Storm,Garden,1-bed flat/apartment,100,350,225,0.5,Yes (20% VAT included),1 quote sufficient,No,Fences excluded from storm cover under all tiers
Fence repair / replacement (per 3m panel),Storm,Garden,2-bed terraced house,125,450,287,0.5,Yes (20% VAT included),1 quote sufficient,No,Fences excluded from storm cover under all tiers
Fence repair / replacement (per 3m panel),Storm,Garden,3-bed semi-detached house,150,500,325,0.5,Yes (20% VAT included),1 quote sufficient,No,Fences excluded from storm cover under all tiers
Fence repair / replacement (per 3m panel),Storm,Garden,3-bed detached house,150,575,362,0.5,Yes (20% VAT included),1 quote sufficient,No,Fences excluded from storm cover under all tiers
Fence repair / replacement (per 3m panel),Storm,Garden,4-bed detached house,200,675,437,0.5,Yes (20% VAT included),1 quote sufficient,No,Fences excluded from storm cover under all tiers
Fence repair / replacement (per 3m panel),Storm,Garden,5-bed+ large detached,225,800,512,0.5,Yes (20% VAT included),1 quote sufficient,No,Fences excluded from storm cover under all tiers
Boundary wall repair (per 3m section),Storm,Garden,1-bed flat/apartment,275,1050,662,2,Yes (20% VAT included),1 quote sufficient,No,Structural walls within boundary are covered
Boundary wall repair (per 3m section),Storm,Garden,2-bed terraced house,350,1350,850,2,Yes (20% VAT included),1 quote sufficient,No,Structural walls within boundary are covered
Boundary wall repair (per 3m section),Storm,Garden,3-bed semi-detached house,400,1500,950,2,Yes (20% VAT included),1 quote sufficient,No,Structural walls within boundary are covered
Boundary wall repair (per 3m section),Storm,Garden,3-bed detached house,450,1700,1075,2,Yes (20% VAT included),1 quote sufficient,No,Structural walls within boundary are covered
Boundary wall repair (per 3m section),Storm,Garden,4-bed detached house,525,2025,1275,2,Yes (20% VAT included),1 quote sufficient,No,Structural walls within boundary are covered
Boundary wall repair (per 3m section),Storm,Garden,5-bed+ large detached,625,2400,1512,2,Yes (20% VAT included),1 quote sufficient,No,Structural walls within boundary are covered
"Burst pipe repair (trace and access, single leak)",Water,Plumbing,1-bed flat/apartment,200,1050,625,1,Yes (20% VAT included),1 quote sufficient,No,"Includes trace, access, and making good"
"Burst pipe repair (trace and access, single leak)",Water,Plumbing,2-bed terraced house,250,1350,800,1,Yes (20% VAT included),1 quote sufficient,No,"Includes trace, access, and making good"
"Burst pipe repair (trace and access, single leak)",Water,Plumbing,3-bed semi-detached house,300,1500,900,1,Yes (20% VAT included),1 quote sufficient,No,"Includes trace, access, and making good"
"Burst pipe repair (trace and access, single leak)",Water,Plumbing,3-bed detached house,325,1700,1012,1,Yes (20% VAT included),1 quote sufficient,No,"Includes trace, access, and making good"
"Burst pipe repair (trace and access, single leak)",Water,Plumbing,4-bed detached house,400,2025,1212,1,Yes (20% VAT included),1 quote sufficient,No,"Includes trace, access, and making good"
"Burst pipe repair (trace and access, single leak)",Water,Plumbing,5-bed+ large detached,475,2400,1437,1,Yes (20% VAT included),1 quote sufficient,No,"Includes trace, access, and making good"
Burst pipe — internal ceiling/wall damage (small room),Water,Interior,1-bed flat/apartment,350,1750,1050,3,Yes (20% VAT included),1 quote sufficient,No,Replastering and redecoration included
Burst pipe — internal ceiling/wall damage (small room),Water,Interior,2-bed terraced house,450,2250,1350,3,Yes (20% VAT included),1 quote sufficient,No,Replastering and redecoration included
Burst pipe — internal ceiling/wall damage (small room),Water,Interior,3-bed semi-detached house,500,2500,1500,3,Yes (20% VAT included),1 quote sufficient,No,Replastering and redecoration included
Burst pipe — internal ceiling/wall damage (small room),Water,Interior,3-bed detached house,575,2875,1725,3,Yes (20% VAT included),1 quote sufficient,No,Replastering and redecoration included
Burst pipe — internal ceiling/wall damage (small room),Water,Interior,4-bed detached house,675,3375,2025,3,Yes (20% VAT included),1 quote sufficient,No,Replastering and redecoration included
Burst pipe — internal ceiling/wall damage (small room),Water,Interior,5-bed+ large detached,800,4000,2400,3,Yes (20% VAT included),1 quote sufficient,No,Replastering and redecoration included
Burst pipe — internal ceiling/wall damage (multiple rooms),Water,Interior,1-bed flat/apartment,1750,8400,5075,10,Yes (20% VAT included),2 independent quotes required,No,Structural drying required
Burst pipe — internal ceiling/wall damage (multiple rooms),Water,Interior,2-bed terraced house,2250,10800,6525,10,Yes (20% VAT included),2 independent quotes required,No,Structural drying required
Burst pipe — internal ceiling/wall damage (multiple rooms),Water,Interior,3-bed semi-detached house,2500,12000,7250,10,Yes (20% VAT included),2 independent quotes required,No,Structural drying required
Burst pipe — internal ceiling/wall damage (multiple rooms),Water,Interior,3-bed detached house,2875,13775,8325,10,Yes (20% VAT included),2 independent quotes required,No,Structural drying required
Burst pipe — internal ceiling/wall damage (multiple rooms),Water,Interior,4-bed detached house,3375,16200,9787,10,Yes (20% VAT included),2 independent quotes required,No,Structural drying required
Burst pipe — internal ceiling/wall damage (multiple rooms),Water,Interior,5-bed+ large detached,4000,19200,11600,10,Yes (20% VAT included),2 independent quotes required,No,Structural drying required
"Water damage — floor replacement (laminate, per room)",Water,Flooring,1-bed flat/apartment,275,1400,837,2,Yes (20% VAT included),1 quote sufficient,No,
"Water damage — floor replacement (laminate, per room)",Water,Flooring,2-bed terraced house,350,1800,1075,2,Yes (20% VAT included),1 quote sufficient,No,
"Water damage — floor replacement (laminate, per room)",Water,Flooring,3-bed semi-detached house,400,2000,1200,2,Yes (20% VAT included),1 quote sufficient,No,
"Water damage — floor replacement (laminate, per room)",Water,Flooring,3-bed detached house,450,2300,1375,2,Yes (20% VAT included),1 quote sufficient,No,
"Water damage — floor replacement (laminate, per room)",Water,Flooring,4-bed detached house,525,2700,1612,2,Yes (20% VAT included),1 quote sufficient,No,
"Water damage — floor replacement (laminate, per room)",Water,Flooring,5-bed+ large detached,625,3200,1912,2,Yes (20% VAT included),1 quote sufficient,No,
"Water damage — floor replacement (hardwood, per room)",Water,Flooring,1-bed flat/apartment,1050,4200,2625,3,Yes (20% VAT included),2 independent quotes required,No,
"Water damage — floor replacement (hardwood, per room)",Water,Flooring,2-bed terraced house,1350,5400,3375,3,Yes (20% VAT included),2 independent quotes required,No,
"Water damage — floor replacement (hardwood, per room)",Water,Flooring,3-bed semi-detached house,1500,6000,3750,3,Yes (20% VAT included),2 independent quotes required,No,
"Water damage — floor replacement (hardwood, per room)",Water,Flooring,3-bed detached house,1700,6875,4287,3,Yes (20% VAT included),2 independent quotes required,No,
"Water damage — floor replacement (hardwood, per room)",Water,Flooring,4-bed detached house,2025,8100,5062,3,Yes (20% VAT included),2 independent quotes required,No,
"Water damage — floor replacement (hardwood, per room)",Water,Flooring,5-bed+ large detached,2400,9600,6000,3,Yes (20% VAT included),2 independent quotes required,No,
Water damage — carpet replacement (per room),Water,Flooring,1-bed flat/apartment,125,825,475,1,Yes (20% VAT included),1 quote sufficient,No,
Water damage — carpet replacement (per room),Water,Flooring,2-bed terraced house,175,1075,625,1,Yes (20% VAT included),1 quote sufficient,No,
Water damage — carpet replacement (per room),Water,Flooring,3-bed semi-detached house,200,1200,700,1,Yes (20% VAT included),1 quote sufficient,No,
Water damage — carpet replacement (per room),Water,Flooring,3-bed detached house,225,1375,800,1,Yes (20% VAT included),1 quote sufficient,No,
Water damage — carpet replacement (per room),Water,Flooring,4-bed detached house,250,1600,925,1,Yes (20% VAT included),1 quote sufficient,No,
Water damage — carpet replacement (per room),Water,Flooring,5-bed+ large detached,300,1900,1100,1,Yes (20% VAT included),1 quote sufficient,No,
Water damage — kitchen unit replacement (full kitchen),Water,Kitchen,1-bed flat/apartment,2100,10500,6300,7,Yes (20% VAT included),2 independent quotes required,No,
Water damage — kitchen unit replacement (full kitchen),Water,Kitchen,2-bed terraced house,2700,13500,8100,7,Yes (20% VAT included),2 independent quotes required,No,
Water damage — kitchen unit replacement (full kitchen),Water,Kitchen,3-bed semi-detached house,3000,15000,9000,7,Yes (20% VAT included),2 independent quotes required,No,
Water damage — kitchen unit replacement (full kitchen),Water,Kitchen,3-bed detached house,3425,17250,10337,7,Yes (20% VAT included),2 independent quotes required,No,
Water damage — kitchen unit replacement (full kitchen),Water,Kitchen,4-bed detached house,4050,20250,12150,7,Yes (20% VAT included),2 independent quotes required,No,
Water damage — kitchen unit replacement (full kitchen),Water,Kitchen,5-bed+ large detached,4800,24000,14400,7,Yes (20% VAT included),2 independent quotes required,No,
Water damage — bathroom suite replacement,Water,Bathroom,1-bed flat/apartment,1050,4200,2625,5,Yes (20% VAT included),2 independent quotes required,No,
Water damage — bathroom suite replacement,Water,Bathroom,2-bed terraced house,1350,5400,3375,5,Yes (20% VAT included),2 independent quotes required,No,
Water damage — bathroom suite replacement,Water,Bathroom,3-bed semi-detached house,1500,6000,3750,5,Yes (20% VAT included),2 independent quotes required,No,
Water damage — bathroom suite replacement,Water,Bathroom,3-bed detached house,1700,6875,4287,5,Yes (20% VAT included),2 independent quotes required,No,
Water damage — bathroom suite replacement,Water,Bathroom,4-bed detached house,2025,8100,5062,5,Yes (20% VAT included),2 independent quotes required,No,
Water damage — bathroom suite replacement,Water,Bathroom,5-bed+ large detached,2400,9600,6000,5,Yes (20% VAT included),2 independent quotes required,No,
Escape of oil — internal clean-up (small area),Water,Contamination,1-bed flat/apartment,550,2100,1325,3,Yes (20% VAT included),1 quote sufficient,Yes,Environmental clean-up; specialist required
Escape of oil — internal clean-up (small area),Water,Contamination,2-bed terraced house,700,2700,1700,3,Yes (20% VAT included),1 quote sufficient,Yes,Environmental clean-up; specialist required
Escape of oil — internal clean-up (small area),Water,Contamination,3-bed semi-detached house,800,3000,1900,3,Yes (20% VAT included),1 quote sufficient,Yes,Environmental clean-up; specialist required
Escape of oil — internal clean-up (small area),Water,Contamination,3-bed detached house,900,3425,2162,3,Yes (20% VAT included),1 quote sufficient,Yes,Environmental clean-up; specialist required
Escape of oil — internal clean-up (small area),Water,Contamination,4-bed detached house,1075,4050,2562,3,Yes (20% VAT included),2 independent quotes required,Yes,Environmental clean-up; specialist required
Escape of oil — internal clean-up (small area),Water,Contamination,5-bed+ large detached,1275,4800,3037,3,Yes (20% VAT included),2 independent quotes required,Yes,Environmental clean-up; specialist required
Escape of oil — full property clean-up,Water,Contamination,1-bed flat/apartment,2100,10500,6300,15,Yes (20% VAT included),2 independent quotes required,Yes,Environmental specialist required; may require rehousing
Escape of oil — full property clean-up,Water,Contamination,2-bed terraced house,2700,13500,8100,15,Yes (20% VAT included),2 independent quotes required,Yes,Environmental specialist required; may require rehousing
Escape of oil — full property clean-up,Water,Contamination,3-bed semi-detached house,3000,15000,9000,15,Yes (20% VAT included),2 independent quotes required,Yes,Environmental specialist required; may require rehousing
Escape of oil — full property clean-up,Water,Contamination,3-bed detached house,3425,17250,10337,15,Yes (20% VAT included),2 independent quotes required,Yes,Environmental specialist required; may require rehousing
Escape of oil — full property clean-up,Water,Contamination,4-bed detached house,4050,20250,12150,15,Yes (20% VAT included),2 independent quotes required,Yes,Environmental specialist required; may require rehousing
Escape of oil — full property clean-up,Water,Contamination,5-bed+ large detached,4800,24000,14400,15,Yes (20% VAT included),2 independent quotes required,Yes,Environmental specialist required; may require rehousing
Fire damage — single room (redecorating only),Fire,Interior,1-bed flat/apartment,550,2800,1675,5,Yes (20% VAT included),1 quote sufficient,No,
Fire damage — single room (redecorating only),Fire,Interior,2-bed terraced house,700,3600,2150,5,Yes (20% VAT included),1 quote sufficient,No,
Fire damage — single room (redecorating only),Fire,Interior,3-bed semi-detached house,800,4000,2400,5,Yes (20% VAT included),1 quote sufficient,No,
Fire damage — single room (redecorating only),Fire,Interior,3-bed detached house,900,4600,2750,5,Yes (20% VAT included),2 independent quotes required,No,
Fire damage — single room (redecorating only),Fire,Interior,4-bed detached house,1075,5400,3237,5,Yes (20% VAT included),2 independent quotes required,No,
Fire damage — single room (redecorating only),Fire,Interior,5-bed+ large detached,1275,6400,3837,5,Yes (20% VAT included),2 independent quotes required,No,
"Fire damage — kitchen (rebuild, units, appliances)",Fire,Kitchen,1-bed flat/apartment,5600,24500,15050,20,Yes (20% VAT included),2 independent quotes required,No,
"Fire damage — kitchen (rebuild, units, appliances)",Fire,Kitchen,2-bed terraced house,7200,31500,19350,20,Yes (20% VAT included),2 independent quotes required,No,
"Fire damage — kitchen (rebuild, units, appliances)",Fire,Kitchen,3-bed semi-detached house,8000,35000,21500,20,Yes (20% VAT included),2 independent quotes required,No,
"Fire damage — kitchen (rebuild, units, appliances)",Fire,Kitchen,3-bed detached house,9200,40250,24725,20,Yes (20% VAT included),2 independent quotes required,No,
